alim_code,name_fr,name_en,group_code,subgroup_code,subsubgroup_code,energy_kcal,energy_kj,protein_g,carbs_g,sugars_g,fat_g,saturated_fat_g,fibre_g,salt_g,water_g
12524,Gorgonzola,"Gorgonzola cheese, from cow's milk",05,0503,050302,318,1320,"19,1",traces,0,"26,9","16,4",0,"1,89","51,1"
12526,Bleu de Gex ou fromage bleu du Haut-Jura ou bleu de Septmoncel,"Gex blue cheese, or Jura blue cheese or Septmoncel blue cheese, from cow's milk",05,0503,050302,364,1510,"22,1",traces,traces,"30,7","20,2",0,"1,44","43,6"
12528,"Fromage bleu au lait de vache, allegé en matière grasse","Bresse blue cheese, reduced fat, from cow's milk",05,0503,050302,223,929,21,1,"0,5",15,11,0,"1,7",-
12705,"Fromage à pâte pressée non cuite type maasdam, allégé en matière grasse","Firm cheese, Maasdam-type, reduced fat, from cow's milk",05,0503,050303,238,994,"27,7","0,8",0,"13,8","8,9",0,"2,06","52,2"
12716,Provolone,"Provolone cheese, from cow's milk",05,0503,050303,340,1410,"25,1",0,0,"26,6","17,1",0,"2,19",41
12720,"Fromage à pâte pressée non cuite, enrobé de cire, non allégé en matière grasse","Firm cheese in wax casing, from cow's milk",05,0503,050303,303,1260,"21,1",traces,traces,"23,8","15,3",0,"1,78","49,2"
12721,"Fromage à pâte pressée non cuite, enrobé de cire, allégé en matière grasse","Firm cheese in wax casing, reduced fat, from cow's milk",05,0503,050303,208,869,25,traces,"< 0,5",12,8,0,"1,8","56,4"
12722,Cantal entre-deux,"Cantal cheese, half matured, from cow's milk",05,0503,050303,383,1590,"26,1",traces,traces,"30,5","19,9",0,"1,85","37,1"
12724,Cantal,"Cantal cheese, from cow's milk",05,0503,050303,378,1570,"24,8",traces,"< 0,5",31,"24,2",0,"2,15",-
12725,Salers,"Salers cheese, from cow's milk",05,0503,050303,388,1610,"25,4",0,"< 0,2","31,4",20,0,"2,19","38,6"
12726,Cheddar,"Cheddar cheese, from cow's milk",05,0503,050303,399,1650,"24,2","1,2","0,15","32,6","20,1",0,"1,77","36,4"
12729,Edam,"Edam cheese, from cow's milk",05,0503,050303,320,1330,"25,2",traces,0,"24,4","16,7",0,"2,22","41,6"
12735,Mimolette jeune (moins de 6 mois d'affinage),"Mimolette cheese, young, from cow's milk (cured less than 6 months)",05,0503,050303,331,1380,"28,3",traces,0,"24,2","16,1",0,"2,44","40,1"
12736,Gouda,"Gouda cheese, from cow's milk",05,0503,050303,369,1530,"24,2",traces,0,"30,2","20,1",0,"1,95","38,4"
12737,Mimolette demi-vieille (6 mois d'affinage minimum),"Mimolette cheese, half-old, from cow's milk (cured 6 months minimum)",05,0503,050303,371,1540,30,"0,75",0,"27,5","17,9",0,3,"34,3"
12738,Mimolette vieille (12 mois d'affinage minimum),"Mimolette cheese, old, from cow's milk (cured 12 months minimum)",05,0503,050303,397,1650,"33,3",traces,"< 0,2","28,8",19,0,"3,68",30
12740,"Mimolette, sans précision","Mimolette cheese, from cow's milk",05,0503,050303,319,1320,"25,3",traces,0,"24,2","16,6",0,"2,17","45,5"
12741,"Fromage à pâte pressée non cuite type maasdam, non allégé en matière grasse","Firm cheese, Maasdam-type, from cow's milk",05,0503,050303,359,1490,25,traces,traces,"28,4","19,5",0,"1,29","41,1"
